id;title;sub_title;publish_year;cover_img_path;edition_numer;summary;purchase_date;start_reading_date;end_reading_date;price;copies;page_number;num_doc;my_notes;keywords;toc;filename
1;Consultant Stream;Account portals Fresh;maxi;Bedfordshire AGP;34597;../fake-data/blob/hipster.txt;2023-09-17;2023-09-17;2023-09-17;91088;99412;62529;Car;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;cross-platform
2;compress;deposit;Camb;Salad Account Kids;45160;../fake-data/blob/hipster.txt;2023-09-17;2023-09-16;2023-09-17;74836;83649;59586;Myanmar;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;SMTP Djibouti
3;port Fish;Ball coherent Investment;Sala;Pants database;74186;../fake-data/blob/hipster.txt;2023-09-17;2023-09-17;2023-09-17;91665;41151;67440;Practical bypassing;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Applications Alaska stable
4;Optimization Avon;system;Rupe;Buckinghamshire Facilitator calculate;90967;../fake-data/blob/hipster.txt;2023-09-17;2023-09-17;2023-09-16;28425;52517;67681;and;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Investment
5;Chief Peru HTTP;Regional;comp;Rial Mandatory Streamlined;14014;../fake-data/blob/hipster.txt;2023-09-17;2023-09-17;2023-09-16;80233;31637;11826;application digital Massachusetts;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Future Auto connect
6;Locks;Seamless;Shor;Virtual;85989;../fake-data/blob/hipster.txt;2023-09-17;2023-09-17;2023-09-17;71784;24054;73858;Home;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;regional wireless Communications
7;Soft withdrawal Intelligent;Ford Wooden;Isla;contextually-based metrics;99278;../fake-data/blob/hipster.txt;2023-09-17;2023-09-16;2023-09-17;66204;70467;80021;Washington Idaho;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Steel plug-and-play
8;Estonia California;Keyboard;COMX;expedite;6487;../fake-data/blob/hipster.txt;2023-09-17;2023-09-17;2023-09-17;55020;6699;60429;Security transmitter Loan;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;enhance
9;viral;Pike Borders;Gran;User-centric;68248;../fake-data/blob/hipster.txt;2023-09-17;2023-09-17;2023-09-17;41344;6958;13316;bypassing Missouri;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;input Dynamic
10;Principal;Corporate Mouse engineer;Toys;Lanka program;68657;../fake-data/blob/hipster.txt;2023-09-17;2023-09-17;2023-09-17;95760;62665;26661;Concrete overriding Plastic;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;leverage
