id;name;code;notes
1;portals Auto;Cambridgeshire Sleek;../fake-data/blob/hipster.txt
2;copying hack;South Uruguay;../fake-data/blob/hipster.txt
3;Human Officer;PNG Junctions;../fake-data/blob/hipster.txt
4;Administrator deposit deposit;Rubber Practical Steel;../fake-data/blob/hipster.txt
5;metrics withdrawal;infrastructures Russian;../fake-data/blob/hipster.txt
6;B2C Curve;motivating;../fake-data/blob/hipster.txt
7;Personal Rial;Market payment Developer;../fake-data/blob/hipster.txt
8;Malawi payment;Cuban matrix;../fake-data/blob/hipster.txt
9;PCI Car;Latvia;../fake-data/blob/hipster.txt
10;Ferry Sharable Architect;Soap Card;../fake-data/blob/hipster.txt
