id;format;code;notes
1;synthesize instruction;Central project Money;Intuitive open-source Uruguayo
2;Intuitive SSL;Practical deposit Rustic;transitional
3;Mobility withdrawal;human-resource capacitor Garden;Soap Summit
4;Analyst Peso;bluetooth empower;Forges Devolved
5;set North;global Beauty;RAM Optimization
6;Borders Incredible;invoice face withdrawal;THX
7;invoice;National Checking Metical;Reactive world-class multimedia
8;olive;Romania;Chief Tools
9;port;Orchestrator;Fundamental Oklahoma Belize
10;Seamless;Associate;Ergonomic Unbranded
