id;name;code;notes
1;Associate;Mobility;../fake-data/blob/hipster.txt
2;encoding Jewelery bluetooth;Sausages;../fake-data/blob/hipster.txt
3;structure;Fantastic Streamlined;../fake-data/blob/hipster.txt
4;modular Executive Account;Fully-configurable Australian Tuna;../fake-data/blob/hipster.txt
5;Vision-oriented Money orchestrate;harness web-enabled;../fake-data/blob/hipster.txt
6;Lead;Product;../fake-data/blob/hipster.txt
7;feed evolve Chief;PCI Gorgeous;../fake-data/blob/hipster.txt
8;capacitor Rial Plastic;methodologies Tactics;../fake-data/blob/hipster.txt
9;Georgia Music;Steel;../fake-data/blob/hipster.txt
10;copying;Chief connect;../fake-data/blob/hipster.txt
